Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-14 21:11:24,disease_Apple,50,full,gini,0.7402733964248159,0.7104129012656625,2220,524
2026-03-14 21:11:25,disease_Apple,100,10,gini,0.7665615141955836,0.7358268044977877,2220,524
2026-03-14 21:11:26,disease_Apple,100,20,gini,0.7371188222923238,0.6961138676489166,2220,524
2026-03-14 21:11:27,disease_Apple,100,30,gini,0.7371188222923238,0.6961138676489166,2220,524
2026-03-14 21:11:28,disease_Apple,100,full,gini,0.7371188222923238,0.6961138676489166,2220,524
2026-03-14 21:11:30,disease_Apple,200,10,gini,0.7739221871713985,0.7412339946468548,2220,524
2026-03-14 21:11:31,disease_Apple,200,20,gini,0.7476340694006309,0.7093728541908405,2220,524
2026-03-14 21:11:32,disease_Apple,200,30,gini,0.7476340694006309,0.7093728541908405,2220,524
2026-03-14 21:11:34,disease_Apple,200,full,gini,0.7476340694006309,0.7093728541908405,2220,524
2026-03-14 21:11:36,disease_Apple,300,10,gini,0.7602523659305994,0.7197386628705578,2220,524
2026-03-14 21:11:38,disease_Apple,300,20,gini,0.7444794952681388,0.7037982192456315,2220,524
2026-03-14 21:11:40,disease_Apple,300,30,gini,0.7444794952681388,0.7037982192456315,2220,524
2026-03-14 21:11:43,disease_Apple,300,full,gini,0.7444794952681388,0.7037982192456315,2220,524
2026-03-14 21:11:43,disease_Blueberry,50,10,gini,1.0,1.0,1051,524
2026-03-14 21:11:44,disease_Blueberry,50,20,gini,1.0,1.0,1051,524
2026-03-14 21:11:44,disease_Blueberry,50,30,gini,1.0,1.0,1051,524
2026-03-14 21:11:44,disease_Blueberry,50,full,gini,1.0,1.0,1051,524
2026-03-14 21:11:45,disease_Blueberry,100,10,gini,1.0,1.0,1051,524
2026-03-14 21:11:45,disease_Blueberry,100,20,gini,1.0,1.0,1051,524
2026-03-14 21:11:46,disease_Blueberry,100,30,gini,1.0,1.0,1051,524
2026-03-14 21:11:47,disease_Blueberry,100,full,gini,1.0,1.0,1051,524
2026-03-14 21:11:47,disease_Blueberry,200,10,gini,1.0,1.0,1051,524
2026-03-14 21:11:49,disease_Blueberry,200,20,gini,1.0,1.0,1051,524
2026-03-14 21:11:49,disease_Blueberry,200,30,gini,1.0,1.0,1051,524
2026-03-14 21:11:50,disease_Blueberry,200,full,gini,1.0,1.0,1051,524
2026-03-14 21:11:52,disease_Blueberry,300,10,gini,1.0,1.0,1051,524
